question,generated_answer,retrieved_contexts,golden_answer,Faithfulness
Is there a relationship between rheumatoid arthritis and periodontal disease?,"Yes, there is evidence to suggest a relationship between rheumatoid arthritis and periodontal disease. The study found that individuals with moderate to severe periodontal disease are at higher risk of suffering from rheumatoid arthritis and vice versa. Specifically, the prevalence of self-reported rheumatoid arthritis was significantly higher (3.95%) in patients referred for periodontal treatment compared to those not referred (0.66%) and the general population (1%). Additionally, 62.5% of patients with rheumatoid arthritis who were referred for periodontal treatment had advanced forms of periodontal disease.","['CONCLUSIONS: Based on data derived from self-reported health conditions, and not \nwithstanding the limitations of such a study, we conclude that there is good \nevidence to suggest that individuals with moderate to severe periodontal disease \nare at higher risk of suffering from rheumatoid arthritis and vice versa.', ""AIM: The aim of this study was to determine whether there is a relationship \nbetween disease experience of rheumatoid arthritis and periodontal disease.\nMETHODS: 1,412 individuals attending the University of Queensland's School of \nDentistry were assessed for the prevalence of periodontal disease and rheumatoid \narthritis. Analysis of data obtained from a self-reported health questionnaire \nand dental records was carried out and included: number of individuals referred \nfor advanced periodontal care (test group); number of individuals attending for \nroutine dentistry; determination of rheumatoid arthritis, cardiovascular disease \nand diabetes mellitus through self-reporting and assessment of prescription \nmedications; assessment of periodontal disease through assessment of existing"", 'medications; assessment of periodontal disease through assessment of existing \noral radiographs.\nRESULTS: In patients referred for periodontal treatment, the prevalence of \nself-reported rheumatoid arthritis was 3.95% which is significantly higher than \nthat seen in patients not referred for periodontal treatment (0.66%) and also \nthat reported in the general population (1%). Of those referred patients with \nrheumatoid arthritis, 62.5% had advanced forms of periodontal disease. These \nresults were mirrored in the results of the self-reported prevalence of \ncardiovascular disease and diabetes mellitus which was consistent with the \npublished higher prevalence in periodontal patients.\nCONCLUSIONS: Based on data derived from self-reported health conditions, and not']","Based on data derived from self-reported health conditions, and not withstanding the limitations of such a study, we conclude that there is good evidence to suggest that individuals with moderate to severe periodontal disease are at higher risk of suffering from rheumatoid arthritis and vice versa.",1.0
"Do the changes in the serum levels of IL-2, IL-4, TNFalpha, and IL-6 reflect the inflammatory activity in the patients with post-ERCP pancreatitis?","Yes, the changes in the serum levels of TNFalpha and IL-6 reflect the inflammatory activity in the patients with post-ERCP pancreatitis. According to the context, ""The enhancement of serum TNFalpha and IL-6 levels in the patients with ERCP-induced pancreatitis reflects the inflammatory activity."" However, the context does not provide evidence that changes in IL-2 levels are associated with inflammatory activity in post-ERCP pancreatitis. IL-4 levels were actually found to be lower in patients with post-ERCP pancreatitis.","['RESULTS: Seven of the 45 patients (15.5%) developed post-ERCP pancreatitis. The \nlevels of IL-4 at 24 hours after ERCP were significantly lower in the patients \nwith post-ERCP pancreatitis than in those without pancreatitis, while TNFalpha \nlevels at 12 hours after ERCP were higher in the complicated group than those of \nthe uncomplicated group. The ratios of TNFalpha/IL-4 at 12 and 24 hours after \nERCP were found significantly higher in the patients with post-ERCP pancreatitis \nthan in those without pancreatitis. IL-6 in the complicated patients was found \nsignificantly increased at 24 hours after ERCP.\nCONCLUSIONS: The enhancement of serum TNFalpha and IL-6 levels in the patients \nwith ERCP-induced pancreatitis reflects the inflammatory activity. Additionally,', 'BACKGROUND: Acute pancreatitis is the major complication of endoscopic \nretrograde cholangiopancreatography (ERCP) procedure and there are some reports \nshowing cytokine changes in ERCP-induced pancreatits.\nGOALS: To investigate the association between early changes (within 24 hours) in \nthe serum interleukin (IL)-2, IL-4, tumor necrosis factor (TNF)alpha, and IL-6 \nlevels and the development of post-ERCP pancreatitis.\nSTUDY: Forty five consecutive patients who underwent therapeutic ERCP and 10 \npatients with acute pancreatitis without ERCP were enrolled to the study. Serum \nconcentrations of IL-2, IL-4, TNFalpha, and IL-6 were determined immediately \nbefore, 12 hours and 24 hours after ERCP.\nRESULTS: Seven of the 45 patients (15.5%) developed post-ERCP pancreatitis. The', 'with ERCP-induced pancreatitis reflects the inflammatory activity. Additionally, \nthese cytokines together with IL-4 can be used in clinical laboratory monitoring \nof ERCP.']","The enhancement of serum TNFalpha and IL-6 levels in the patients with ERCP-induced pancreatitis reflects the inflammatory activity. Additionally, these cytokines together with IL-4 can be used in clinical laboratory monitoring of ERCP.",1.0
Does hypoglycaemia increase the risk of cardiovascular events?,"According to the provided context, severe hypoglycaemia is associated with a greater risk of cardiovascular events. The Document (id='339c0623-4d68-55e8-9235-4fe98769b561') states that severe hypoglycaemia was associated with a greater risk for the primary outcome (HR: 1.58; 95% CI: 1.24-2.02, P < 0.001), which includes cardiovascular death, non-fatal myocardial infarction, or stroke. However, non-severe hypoglycaemia was not associated with any outcome following adjustment. Therefore, the answer is yes, severe hypoglycaemia increases the risk of cardiovascular events.","['mortality; (iii) CV mortality; and (iv) arrhythmic death. Hazards were estimated \nbefore and after adjustment for a hypoglycaemia propensity score. During a \nmedian of 6.2 years (IQR: 5.8-6.7), non-severe hypoglycaemic episodes occurred \nin 41.7 and 14.4% glargine and standard group participants, respectively, while \nsevere episodes occurred in 5.7 and 1.8%, respectively. Non-severe hypoglycaemia \nwas not associated with any outcome following adjustment. Conversely, severe \nhypoglycaemia was associated with a greater risk for the primary outcome (HR: \n1.58; 95% CI: 1.24-2.02, P < 0.001), mortality (HR: 1.74; 95% CI: 1.39-2.19, P < \n0.001), CV death (HR: 1.71; 95% CI: 1.27-2.30, P < 0.001) and arrhythmic death', 'AIMS: Hypoglycaemia caused by glucose-lowering therapy has been linked to \ncardiovascular (CV) events. The ORIGIN trial provides an opportunity to further \nassess this relationship.\nMETHODS AND RESULTS: A total of 12 537 participants with dysglycaemia and high \nCV-risk were randomized to basal insulin glargine titrated to a fasting glucose \nof ≤ 5.3 mmol/L (95 mg/dL) or standard glycaemic care. Non-severe hypoglycaemia \nwas defined as symptoms confirmed by glucose ≤ 54 mg/dL and severe hypoglycaemia \nas a requirement for assistance or glucose ≤ 36 mg/dL. Outcomes were: (i) the \ncomposite of CV death, non-fatal myocardial infarction or stroke; (ii) \nmortality; (iii) CV mortality; and (iv) arrhythmic death. Hazards were estimated', 'suffered a non-fatal myocardial infarction or coronary death.\nRESULTS: Serum cholesterol was a significant risk factor for both sexes, with \nhazard ratios (HR) decreasing with age. Systolic blood pressure was a stronger \nrisk factor for women as was ECG-confirmed left ventricular hypertrophy (women \nHR 2.89, 95% confidence interval [CI] 1.67-5.01; men HR 1.11 [CI 0.86-1.43]). \nFasting blood glucose > or =6.7 mmol/L identified significantly higher risk for \nwomen (HR 2.65) than men (HR 2.08) as did self-reported diabetes. Triglyceride \nrisk was significantly higher for women and decreased significantly with age. \nSmoking increased risk two- to five-fold, increasing with dose, for women, which \nwas significantly higher than the doubling in risk for men.']","Severe hypoglycaemia is associated with an increased risk for CV outcomes in people at high CV risk and dysglycaemia. Although allocation to insulin glargine vs. standard care was associated with an increased risk of severe and non-severe hypoglycaemia, the relative risk of CV outcomes with hypoglycaemia was lower with insulin glargine-based glucose-lowering therapy than with the standard glycaemic control. Trial Registration (ORIGIN ClinicalTrials.gov number NCT00069784).",1.0
Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,"No, technology per se is not sufficient to improve glycaemic control in type 1 diabetes. The Diabeo system, which includes a smartphone coupled to a website, improved HbA1c by 0.9% in patients with chronic, poorly controlled type 1 diabetes. However, the improvement was greater in patients who received motivational support via teleconsultation, particularly in low users (-0.93±0.97 vs -0.46±1.05, P=0.084). This suggests that while technology can provide automated advice on insulin doses, human support and teleconsultation are also important components in improving glycaemic control.","['AIM: In the TELEDIAB-1 study, the Diabeo system (a smartphone coupled to a \nwebsite) improved HbA1c by 0.9% vs controls in patients with chronic, poorly \ncontrolled type 1 diabetes. The system provided two main functions: automated \nadvice on the insulin doses required; and remote monitoring by teleconsultation. \nThe question is: how much did each function contribute to the improvement in \nHbA1c?\nMETHODS: Each patient received a smartphone with an insulin dose advisor (IDA) \nand with (G3 group) or without (G2 group) the telemonitoring/teleconsultation \nfunction. Patients were classified as ""high users"" if the proportion of \n""informed"" meals using the IDA exceeded 67% (median) and as ""low users"" if not. \nAlso analyzed was the respective impact of the IDA function and', 'low users from 9.0% [8.5-10.1] to 8.5% [7.9-9.6], those receiving support via \nteleconsultation tended to show greater improvement than the others (-0.93±0.97 \nvs -0.46±1.05, respectively; P=0.084).\nCONCLUSION: The Diabeo system improved glycaemic control in both high and low \nusers who avidly used the IDA function, while the greatest improvement was seen \nin the low users who had the motivational support of teleconsultations.', 'OBJECTIVE: Type 2 diabetes may be present for several years before diagnosis, by \nwhich time many patients have already developed diabetic complications. Earlier \ndetection and treatment may reduce this burden, but evidence to support this \napproach is lacking.\nRESEARCH DESIGN AND METHODS: Glycemic control and clinical and surrogate \noutcomes were compared for 5,088 of 5,102 U.K. Diabetes Prospective Study \nparticipants according to whether they had low (<140 mg/dl [<7.8 mmol/l]), \nintermediate (140 to <180 mg/dl [7.8 to <10.0 mmol/l]), or high (> or =180 mg/dl \n[> or =10 mmol/l]) fasting plasma glucose (FPG) levels at diagnosis. Individuals \nwho presented with and without diabetic symptoms were also compared.\nRESULTS: Fewer people with FPG in the lowest category had retinopathy, abnormal']","The Diabeo system improved glycaemic control in both high and low users who avidly used the IDA function, while the greatest improvement was seen in the low users who had the motivational support of teleconsultations.",0.75
Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,"Yes, according to the research context, elevated troponin I (cTnI) levels are associated with a higher risk for in-hospital mortality and complicated clinical course in patients with acute pulmonary embolism (PE). The study found that patients with elevated cTnI levels had more serious vital parameters at emergency department presentation and were more likely to experience adverse clinical events. The conclusion of the study states that ""elevated cTnI levels are associated with higher risk for in-hospital mortality and complicated clinical course"" and suggests that troponin I may play an important role in the risk assessment of patients with PE.","['OBJECTIVE: The purpose of this study was to evaluate the value of elevated \ncardiac troponin I (cTnI) for prediction of complicated clinical course and \nin-hospital mortality in patients with confirmed acute pulmonary embolism (PE).\nMETHODS AND RESULTS: This study was a retrospective chart review of patients \ndiagnosed as having PE, in whom cTnI testing was obtained at emergency \ndepartment (ED) presentation between January 2002 and April 2006. Clinical \ncharacteristics; echocardiographic right ventricular dysfunction; inhospital \nmortality; and adverse clinical events including need for inotropic support, \nmechanical ventilation, and thrombolysis were compared in patients with elevated \ncTnI levels vs patients with normal cTnI levels. One hundred sixteen patients', 'CI, 1.03-8.85) were more prevalent. The patients with elevated cTnI levels had \nmore serious vital parameters (systolic blood pressure, pulse, and oxygen \nsaturation) at ED presentation.\nCONCLUSION: Our results indicate that elevated cTnI levels are associated with \nhigher risk for inhospital mortality and complicated clinical course. Troponin I \nmay play an important role for the risk assessment of patients with PE. The idea \nthat an elevation in cTnI levels is a valuable parameter for the risk \nstratification of patients with PE needs to be examined in larger prospective \nstudies.', 'BACKGROUND: Elevation of cardiac troponin (cTn) is considered specific for \nmyocardial damage. Elevated cTn and echocardiogrpahic documentation of wall \nmotion abnormalities (WMAs) that were recorded after extreme physical effort \nraise the question whether dobutamine stress echo (DSE), can also induce \nelevation of troponin.\nMETHODS: we prospective enrolled stable patients (age >18 years) referred to \nDSE. The exam was performed under standardized conditions. Blood samples for \ncTnI were obtained at baseline and 18-24 hours after the test. We aimed to \ncompare between the clinical and echocardiographic features of patients with \nelevated cTnI and those without cTnI elevations.\nRESULTS: Fifty-seven consecutive patients were included. The average age was']",Our results indicate that elevated cTnI levels are associated with higher risk for inhospital mortality and complicated clinical course. Troponin I may play an important role for the risk assessment of patients with PE. The idea that an elevation in cTnI levels is a valuable parameter for the risk stratification of patients with PE needs to be examined in larger prospective studies.,1.0
Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,"Yes, the provided context suggests that β-catenin may have a role in the pathogenesis of sebaceous cell carcinoma of the eyelid. The documents report that cytoplasmic overexpression of β-catenin was observed in the majority of cases of sebaceous cell carcinoma of the eyelid, and this correlated significantly with tumor size. The authors hypothesize that β-catenin overexpression in sebaceous cell carcinoma of the eyelid may be a result of Wnt/β-catenin pathway dysregulation. However, the exact role of β-catenin in the development and prognosis of sebaceous cell carcinoma of the eyelid needs to be explored further.","['CONCLUSION: Cytoplasmic overexpression of β-catenin was observed in the majority \nof the cases of SbCC of eyelid, and this correlated significantly with tumour \nsize. The authors therefore hypothesise that β-catenin overexpression in SbCC of \neyelid may be a result of Wnt/β-catenin pathway dysregulation. However, its role \nboth in the development of sebaceous cell carcinoma of the eyelid as well as its \nprognosis needs to be explored further.', 'AIM: Expression of β-catenin in sebaceous cell carcinoma (SbCC) of the eyelid \nand its correlation with histopathological features.\nMETHOD: 48 cases of SbCC were analysed immunohistochemically using monoclonal \nβ-catenin antibody and the results correlated with tumour size, \nhistopathological differentiation, orbital invasion and pagetoid spread.\nRESULTS: Cytoplasmic overexpression of β-catenin was seen in 66% cases of SbCC \nwhich correlated positively with tumour size, orbital invasion and pagetoid \nspread. This correlation was found to be significant in tumour size > 2 cm (p = \n0.242). Nuclear staining was not observed in any of the cases.\nCONCLUSION: Cytoplasmic overexpression of β-catenin was observed in the majority', 'OBJECTIVE: To report three cases illustrating that it is not unusual for a \nprimary eyelid tumour to metastasise to the parotid gland and vice versa.\nCASE REPORTS: Two patients with malignant parotid tumours underwent radical \nparotidectomy and presented subsequently with eyelid lesions. Biopsy showed that \nboth eyelid lesions were histologically similar to the primary parotid tumour. A \nthird patient was noted to have ipsilateral upper eyelid and parotid gland \ntumours. Histology and immunocytochemistry were used to differentiate the \nprimary tumour and the metastasis.\nCONCLUSION: These cases illustrate that tumours involving eyelids and parotid \nglands can present simultaneously or sequentially, and either of these']","Cytoplasmic overexpression of β-catenin was observed in the majority of the cases of SbCC of eyelid, and this correlated significantly with tumour size. The authors therefore hypothesise that β-catenin overexpression in SbCC of eyelid may be a result of Wnt/β-catenin pathway dysregulation. However, its role both in the development of sebaceous cell carcinoma of the eyelid as well as its prognosis needs to be explored further.",1.0
Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,"Remote postischemic conditioning might reduce the myocardial lesions associated with percutaneous coronary intervention (PCI), but its effectiveness may be limited in certain patient populations, such as diabetics. However, the provided context does not offer conclusive evidence on the specific protective effects of remote ischemic postconditioning against ischemic damage in percutaneous coronary revascularization.","['protocol reduced post-ischemic myocardial dysfunction.\nCONCLUSION: The preconditioning effect (infarct size reduction) appears not to \ndepend on intermittent reperfusion. Thus, the protective mechanism of IP \ndevelops during the initial ischemia that precedes the index ischemia. \nAlternatively, low-flow ischemia is effectively a sort of reperfusion.', 'OBJECTIVE: Myocardial damage that is associated with percutaneous coronary \nintervention (PCI) partially affects the results of the procedure, and is \nrelated to medium-term cardiovascular death. Remote postischemic conditioning \nmight reduce the myocardial lesions that are associated with PCI, but perhaps \nless so in diabetics. The aim of this study was to evaluate the protective \neffect of remote postischemic conditioning in patients undergoing elective PCI \nfor stable angina or non-ST elevation acute coronary syndrome with troponin <1 \nng/ml at the time of randomization.\nMETHODS: This randomized single-blinded single-center clinical trial involved \n320 patients undergoing elective PCI who were randomized to either receive three', 'reperfusion. (2) CIP (n = 7): 4 times 5 min zero flow with 10 min reperfusion \neach - 60 min low flow (10%) - ischemia 60 min reperfusion. (3) IIP (n = 7): 50 \nmin normal flow - 10 min no flow - 60min low flow (10%) ischemia -4 60min \nreperfusion. (4) RI (n=6): gradual reduction to 10% flow during 60min - 60min \nlow flow (10%) ischemia - 60min reperfusion. At the end of each protocol, the \ninfarcted area was assessed.\nRESULTS: The infarct area in control hearts was 6.7+/-1.4% (means+/-SEM) of LV \ntotal area, in CIP hearts 2.6+/-0.8%, in IIP hearts 3.1+/-0.5%, and in RI hearts \n3.0+/-0.3% (all p<0.05 vs. control). The differences between the three \nprotection protocols were statistically not significant, and no protective \nprotocol reduced post-ischemic myocardial dysfunction.']",This clinical trial evaluated the possible reduction in intervention-related myocardial damage that was attributable to remote postischemic conditioning.,1.0
Hearing loss: an unknown complication of pre-eclampsia?,"Yes, hearing loss, specifically sensorineural hearing loss, is a potential complication of pre-eclampsia. According to the provided context, patients with pre-eclampsia had significantly higher hearing thresholds at certain frequencies compared to control subjects, suggesting a potential risk factor for cochlear damage and sensorineural hearing loss. The degree of systolic blood pressure measured at the time of diagnosis also had a deteriorating effect on hearing at specific frequencies. (Document IDs: '2391a559-4dbb-5f85-a50c-c6a91626afc5' and '2939c817-b8ac-59a7-ae34-19465ae40beb')","['gestational week, were similar between the two patient groups. Hearing \nthresholds in the right ear at 1, 4, 8, and 10\u2009kHz and in the left ear at 8 and \n10\u2009kHz were significantly higher in the patients with pre-eclampsia compared to \nthe control subjects. The degree of systolic blood pressure measured at the time \nof diagnosis had a deteriorating effect on hearing at 8, 10, and 12\u2009kHz in the \nright ear and at 10\u2009kHz in the left ear.\nCONCLUSIONS: Pre-eclampsia is a potential risk factor for cochlear damage and \nsensorineural hearing loss. Further studies that include routine audiological \nexaminations are needed in these patients.\n© 2014 The Authors. Journal of Obstetrics and Gynaecology Research © 2014 Japan \nSociety of Obstetrics and Gynecology.', 'AIM: The aim of this study was to determine whether pre-eclampsia is a risk \nfactor for cochlear damage and sensorineural hearing impairment.\nMATERIAL AND METHODS: This prospective case-control study consisted of 33 \npatients with pre-eclampsia and 32 normotensive pregnant patients as controls. \nAll of the subjects underwent otoscopic examinations - pure tone audiometry \n(0.25-16\u2009kHz) and transient evoked otoacoustic emission (1-4\u2009kHz) tests - during \ntheir third trimester of pregnancy.\nRESULTS: The mean ages of the patients with pre-eclampsia and the control \nsubjects were 29.6\u2009±\u20095.7 and 28.6\u2009±\u20095.3 years, respectively. The baseline \ndemographic characteristics, including age, gravidity, parity number, and \ngestational week, were similar between the two patient groups. Hearing', ""CONCLUSION: We conclude that not all low-tone sudden deafness (SD) patients \nsuffered from endolymphatic hydrops even if they had vertigo attack at the onset \nand that electrocochleography (ECochG) was a useful prognostic tool.\nOBJECTIVES: To investigate whether low-tone SD was a precursor of Meniere's \ndisease and whether patients with low-tone SD suffered from endolymphatic \nhydrops.\nPATIENTS AND METHODS: This was a retrospective case review in the university \nhospital. A total of 184 patients with low-tone SD were divided into two groups \nwith single and recurrent episodes. The progress, follow-up audiograms, and \nECochG results of the patients were reviewed and compared with those of patients \nwith high-tone SD and Meniere's disease.""]",Pre-eclampsia is a potential risk factor for cochlear damage and sensorineural hearing loss. Further studies that include routine audiological examinations are needed in these patients.,1.0
Does psychological distress predict disability?,"Yes, psychological distress is an independent risk factor for disability. The study found that the relative risk (RR) of disability in the highest quartile of psychological distress score was 1.76 (95% CI: 1.44-2.14) compared to the lowest quartile, indicating a significant association between psychological distress and disability.","['(95% CI: 0.42-1.85). The corresponding RR for overall disability was 1.76 (95% \nCI: 1.44-2.14) in the highest quartile of psychological distress score as \ncompared with the lowest quartile.\nCONCLUSIONS: Psychological distress is an independent risk factor for \ndisability. Its predictive significance varies between disorders leading to \nfunctional deterioration. The association mechanisms are likely to vary from one \ndisorder to another.', 'STUDY OBJECTIVE: To evaluate psychological distress as a predictor of disability \ndue to common chronic disorders.\nSTUDY POPULATION AND METHODS: A 10-year follow-up study was carried out among a \nrepresentative cohort (N = 8655) of 18-64 year old Finnish farmers, who had \nparticipated in a health survey in 1979 and were able to work at baseline. A \nrecord linkage with the nationwide register of the Social Insurance Institution \nwas made to identify disability pensions granted between 1980 and 1990 in the \ncohort. The medical certificates of 1004 (11.6%) prematurely retired farmers \nwere reviewed to confirm and classify disabling conditions. A sum score based on \nself-reports of 11 symptoms at the baseline was used as a measure of \npsychological distress.', 'self-reports of 11 symptoms at the baseline was used as a measure of \npsychological distress.\nRESULTS: After adjustment for age, sex, smoking and body mass index, the \ncause-specific relative risks (RR) (95% confidence intervals [CI]) of disability \nin the highest quartile of the psychological distress score as compared with the \nlowest quartile were for myocardial infarction 2.34 (95% CI: 1.17-4.69), for \ndepression 2.50 (95% CI: 1.09-5.72), for neck-shoulder disorders 1.98 (95% CI: \n1.26-3.11), for unspecified low-back disorders 1.76 (95% CI: 1.24-2.49), for \nknee osteoarthritis 1.55 (95% CI: 0.91-2.63) and for trip osteoarthritis 0.89 \n(95% CI: 0.42-1.85). The corresponding RR for overall disability was 1.76 (95%']",Psychological distress is an independent risk factor for disability. Its predictive significance varies between disorders leading to functional deterioration. The association mechanisms are likely to vary from one disorder to another.,1.0
Pancreas retransplantation:  a second chance for diabetic patients?,"Yes, pancreas retransplantation is a safe procedure with acceptable graft survival that can be proposed to diabetic patients who have lost their primary graft. The study found that second pancreas survival was close to primary graft survival of the whole population, with 71% survival at 1 year and 59% at 5 years, and significantly better than their first pancreas survival. Additionally, patient survival was excellent, with 89% at 5 years, and pancreas retransplantation had no impact on kidney graft function and survival.","['years).\nCONCLUSION: Pancreas retransplantation is a safe procedure with acceptable graft \nsurvival that should be proposed to diabetic patients who have lost their \nprimary graft.', 'BACKGROUND: If pancreas transplantation is a validated alternative for type 1 \ndiabetic patients with end-stage renal disease, the management of patients who \nhave lost their primary graft is poorly defined. This study aims at evaluating \npancreas retransplantation outcome.\nMETHODS: Between 1976 and 2008, 569 pancreas transplantations were performed in \nLyon and Geneva, including 37 second transplantations. Second graft survival was \ncompared with primary graft survival of the same patients and the whole \npopulation. Predictive factors of second graft survival were sought. Patient \nsurvival and impact on kidney graft function and survival were evaluated.\nRESULTS: Second pancreas survival of the 17 patients transplanted from 1995 was', 'RESULTS: Second pancreas survival of the 17 patients transplanted from 1995 was \nclose to primary graft survival of the whole population (71% vs. 79% at 1 year \nand 59% vs. 69% at 5 years; P=0.5075) and significantly better than their first \npancreas survival (71% vs. 29% at 1 year and 59% vs. 7% at 5 years; P=0.0008) \nregardless of the cause of first pancreas loss. The same results were observed \nwith all 37 retransplantations. Survival of second simultaneous pancreas and \nkidney transplantations was better than survival of second pancreas after \nkidney. Patient survival was excellent (89% at 5 years). Pancreas \nretransplantation had no impact on kidney graft function and survival (100% at 5 \nyears).\nCONCLUSION: Pancreas retransplantation is a safe procedure with acceptable graft']",Pancreas retransplantation is a safe procedure with acceptable graft survival that should be proposed to diabetic patients who have lost their primary graft.,1.0
