question_idx,question,severity_tier,severity_weight,faithfulness,hallucination_rate,cwhs_contribution,correctness,css_contribution
0,Is there a relationship between rheumatoid arthritis and periodontal disease?,Medium,2,1.0,0.0,0.0,1.0,0.0
1,"Do the changes in the serum levels of IL-2, IL-4, TNFalpha, and IL-6 reflect the inflammatory activity in the patients with post-ERCP pancreatitis?",Medium,2,1.0,0.0,0.0,0.7,0.24
2,Does hypoglycaemia increase the risk of cardiovascular events?,Medium,2,1.0,0.0,0.0,0.8,0.16
3,Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,Medium,2,0.8571428571428571,0.1429,0.2857,0.3,0.7314
4,Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,Medium,2,1.0,0.0,0.0,0.6,0.32
5,Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,Low,1,1.0,0.0,0.0,1.0,0.0
6,Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,Medium,2,1.0,0.0,0.0,0.3,0.56
7,Hearing loss: an unknown complication of pre-eclampsia?,Medium,2,1.0,0.0,0.0,0.8,0.16
8,Does psychological distress predict disability?,Medium,2,1.0,0.0,0.0,0.8,0.16
9,Pancreas retransplantation:  a second chance for diabetic patients?,High,3,1.0,0.0,0.0,1.0,0.0
10,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,Low,1,1.0,0.0,0.0,0.7,0.12
11,Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?,High,3,1.0,0.0,0.0,0.4,0.72
12,Dementia and aphasia in motor neuron disease: an underrecognised association?,Medium,2,1.0,0.0,0.0,1.0,0.0
13,Does age moderate the effect of personality disorder on coping style in psychiatric inpatients?,Medium,2,1.0,0.0,0.0,0.1,0.72
14,Subclavian steal syndrome: can the blood pressure difference between arms predict the severity of steal?,Medium,2,1.0,0.0,0.0,1.0,0.0
15,Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?,Medium,2,1.0,0.0,0.0,0.2,0.64
16,Can we ease the financial burden of colonoscopy?,Low,1,1.0,0.0,0.0,0.5,0.2
17,Does depression diagnosis and antidepressant prescribing vary by location?,High,3,1.0,0.0,0.0,1.0,0.0
18,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,Medium,2,1.0,0.0,0.0,0.7,0.24
19,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,Low,1,1.0,0.0,0.0,1.0,0.0
20,Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,Medium,2,1.0,0.0,0.0,1.0,0.0
21,Are performance measurement systems useful?,Low,1,1.0,0.0,0.0,0.7,0.12
22,Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?,Medium,2,1.0,0.0,0.0,1.0,0.0
23,Is there a favorable subset of patients with prostate cancer who develop oligometastases?,Medium,2,1.0,0.0,0.0,0.7,0.24
24,Are virtual planning and guided surgery for head and neck reconstruction economically viable?,High,3,1.0,0.0,0.0,1.0,0.0
25,Are there progressive brain changes in schizophrenia?,Medium,2,1.0,0.0,0.0,0.6,0.32
26,Substance use and HIV-related sexual behaviors among US high school students: are they related?,Medium,2,1.0,0.0,0.0,0.6,0.32
27,Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,Medium,2,1.0,0.0,0.0,0.1,0.72
28,Does reducing spasticity translate into functional benefit?,Medium,2,1.0,0.0,0.0,1.0,0.0
29,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,High,3,1.0,0.0,0.0,1.0,0.0
30,It's Fournier's gangrene still dangerous?,Medium,2,1.0,0.0,0.0,0.6,0.32
31,Does early migraine treatment shorten time to headache peak and reduce its severity?,High,3,1.0,0.0,0.0,1.0,0.0
32,Can medical students contribute to quality assurance programmes in day surgery?,High,3,1.0,0.0,0.0,0.8,0.24
33,Do familiar teammates request and accept more backup?,Low,1,1.0,0.0,0.0,0.7,0.12
34,Should lower limb fractures be treated surgically in patients with chronic spinal injuries?,High,3,1.0,0.0,0.0,1.0,0.0
35,Are stroke patients' reports of home blood pressure readings reliable?,Medium,2,1.0,0.0,0.0,0.8,0.16
36,Oral mucocele/ranula: Another human immunodeficiency virus-related salivary gland disease?,Medium,2,1.0,0.0,0.0,1.0,0.0
37,Can the postoperative pain level be predicted preoperatively?,Medium,2,1.0,0.0,0.0,1.0,0.0
38,Are adult body circumferences associated with height?,Low,1,1.0,0.0,0.0,1.0,0.0
39,Do liquid-based preparations of urinary cytology perform differently than classically prepared cases?,Medium,2,1.0,0.0,0.0,0.5,0.4
40,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,Medium,2,1.0,0.0,0.0,0.7,0.24
41,Reporting and interpreting red blood cell morphology: is there discordance between clinical pathologists and clinicians?,Medium,2,1.0,0.0,0.0,0.5,0.4
42,Can tailored interventions increase mammography use among HMO women?,High,3,1.0,0.0,0.0,0.6,0.48
43,Is primary angioplasty an acceptable alternative to thrombolysis?,High,3,1.0,0.0,0.0,0.7,0.36
44,Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?,Medium,2,1.0,0.0,0.0,0.7,0.24
45,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,Medium,2,1.0,0.0,0.0,1.0,0.0
46,Validation of the 2009 TNM version in a large multi-institutional cohort of patients treated for renal cell carcinoma: are further improvements needed?,High,3,1.0,0.0,0.0,0.0,1.2
47,Does topical ropivacaine reduce the post-tonsillectomy morbidity in pediatric patients?,Medium,2,1.0,0.0,0.0,0.4,0.48
48,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,High,3,1.0,0.0,0.0,0.7,0.36
49,Should general practitioners call patients by their first names?,Low,1,1.0,0.0,0.0,1.0,0.0
50,Amblyopia: is visual loss permanent?,Medium,2,1.0,0.0,0.0,1.0,0.0
51,Is there a role for fondaparinux in perioperative bridging?,High,3,1.0,0.0,0.0,0.6,0.48
52,Does context matter for the relationship between deprivation and all-cause mortality?,Medium,2,1.0,0.0,0.0,0.7,0.24
53,Does a colonoscopy after acute diverticulitis affect its management?,Medium,2,0.6666666666666666,0.3333,0.6667,0.7,0.64
54,Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,Medium,2,1.0,0.0,0.0,1.0,0.0
55,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,Low,1,1.0,0.0,0.0,1.0,0.0
56,Does maternal obesity have an influence on feeding behavior of obese children?,Medium,2,1.0,0.0,0.0,0.4,0.48
57,Does pain intensity predict a poor opioid response in cancer patients?,Medium,2,1.0,0.0,0.0,0.7,0.24
58,Metered-dose inhalers. Do health care providers know what to teach?,High,3,1.0,0.0,0.0,0.4,0.72
59,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,High,3,1.0,0.0,0.0,0.0,1.2
60,Ovarian torsion in children: is oophorectomy necessary?,High,3,0.75,0.25,0.75,1.0,0.45
61,Are octogenarians at high risk for carotid endarterectomy?,Medium,2,1.0,0.0,0.0,0.8,0.16
62,Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,Low,1,1.0,0.0,0.0,1.0,0.0
63,Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,High,3,1.0,0.0,0.0,1.0,0.0
64,Is diffusion-weighted imaging a significant indicator of the development of vascularization in hypovascular hepatocellular lesions?,Medium,2,1.0,0.0,0.0,1.0,0.0
65,Blunt trauma in intoxicated patients: is computed tomography of the abdomen always necessary?,High,3,1.0,0.0,0.0,1.0,0.0
66,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,Medium,2,1.0,0.0,0.0,0.0,0.8
67,Does high-dose radiotherapy benefit palliative lung cancer patients?,High,3,1.0,0.0,0.0,1.0,0.0
68,Does route of delivery affect maternal and perinatal outcome in women with eclampsia?,Medium,2,1.0,0.0,0.0,1.0,0.0
69,Does anastomotic leakage affect functional outcome after rectal resection for cancer?,Medium,2,1.0,0.0,0.0,1.0,0.0
70,Does septoplasty change the dimensions of compensatory hypertrophy of the middle turbinate?,Medium,2,1.0,0.0,0.0,1.0,0.0
71,Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,Low,1,1.0,0.0,0.0,0.9,0.04
72,Can multiple SNP testing in BRCA2 and BRCA1 female carriers be used to improve risk prediction models in conjunction with clinical assessment?,Medium,2,1.0,0.0,0.0,0.5,0.4
73,Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,Low,1,1.0,0.0,0.0,1.0,0.0
74,Does a family meetings intervention prevent depression and anxiety in family caregivers of dementia patients?,High,3,1.0,0.0,0.0,0.7,0.36
75,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,Low,1,1.0,0.0,0.0,0.4,0.24
76,Does minimal access major surgery in the newborn hurt less?,High,3,1.0,0.0,0.0,0.1,1.08
77,Do healthier lifestyles lead to less utilization of healthcare resources?,Medium,2,1.0,0.0,0.0,0.4,0.48
78,Location and number of sutures placed for hiatal hernia repair during laparoscopic adjustable gastric banding: does it matter?,High,3,1.0,0.0,0.0,0.0,1.2
79,Does increased patient awareness improve accrual into cancer-related clinical trials?,Medium,2,1.0,0.0,0.0,0.9,0.08
80,Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,Medium,2,1.0,0.0,0.0,0.6,0.32
81,Does the aggressive use of polyvalent antivenin for rattlesnake bites result in serious acute side effects?,Medium,2,1.0,0.0,0.0,1.0,0.0
82,Does higher body mass index contribute to worse asthma control in an urban population?,Medium,2,1.0,0.0,0.0,0.8,0.16
83,Can bedside assessment reliably exclude aspiration following acute stroke?,Medium,2,1.0,0.0,0.0,0.5,0.4
84,Do episodic migraineurs selectively attend to headache-related visual stimuli?,Medium,2,1.0,0.0,0.0,0.6,0.32
85,Can we predict urinary stone composition based on an analysis of microelement concentration in the hair and urine?,Medium,2,1.0,0.0,0.0,1.0,0.0
86,Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,Medium,2,1.0,0.0,0.0,1.0,0.0
87,"Do lipids, blood pressure, diabetes, and smoking confer equal risk of myocardial infarction in women as in men?",Medium,2,1.0,0.0,0.0,1.0,0.0
88,Can PRISM predict length of PICU stay?,Medium,2,0.8333333333333334,0.1667,0.3333,0.2,0.84
89,Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,Medium,2,1.0,0.0,0.0,1.0,0.0
90,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,Medium,2,1.0,0.0,0.0,0.7,0.24
91,Is vitamin D deficiency a feature of pediatric celiac disease?,Medium,2,1.0,0.0,0.0,0.0,0.8
92,Chronic functional somatic symptoms: a single syndrome?,Medium,2,1.0,0.0,0.0,0.3,0.56
93,Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,Medium,2,1.0,0.0,0.0,1.0,0.0
94,Does loss of consciousness predict neuropsychological decrements after concussion?,Medium,2,1.0,0.0,0.0,0.8,0.16
95,Clinical identifiers for early-stage primary/idiopathic adhesive capsulitis: are we seeing the real picture?,Medium,2,1.0,0.0,0.0,1.0,0.0
