question,generated_answer,retrieved_contexts,golden_answer,Contextual Recall
Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,"Yes, according to the research context, elevated troponin I (cTnI) levels are associated with a higher risk for in-hospital mortality and complicated clinical course in patients with acute pulmonary embolism (PE). The study found that patients with elevated cTnI levels had more serious vital parameters at emergency department presentation and were more likely to experience adverse clinical events. The conclusion of the study states that ""elevated cTnI levels are associated with higher risk for in-hospital mortality and complicated clinical course"" and suggests that troponin I may play an important role in the risk assessment of patients with PE.","['OBJECTIVE: The purpose of this study was to evaluate the value of elevated \ncardiac troponin I (cTnI) for prediction of complicated clinical course and \nin-hospital mortality in patients with confirmed acute pulmonary embolism (PE).\nMETHODS AND RESULTS: This study was a retrospective chart review of patients \ndiagnosed as having PE, in whom cTnI testing was obtained at emergency \ndepartment (ED) presentation between January 2002 and April 2006. Clinical \ncharacteristics; echocardiographic right ventricular dysfunction; inhospital \nmortality; and adverse clinical events including need for inotropic support, \nmechanical ventilation, and thrombolysis were compared in patients with elevated \ncTnI levels vs patients with normal cTnI levels. One hundred sixteen patients', 'CI, 1.03-8.85) were more prevalent. The patients with elevated cTnI levels had \nmore serious vital parameters (systolic blood pressure, pulse, and oxygen \nsaturation) at ED presentation.\nCONCLUSION: Our results indicate that elevated cTnI levels are associated with \nhigher risk for inhospital mortality and complicated clinical course. Troponin I \nmay play an important role for the risk assessment of patients with PE. The idea \nthat an elevation in cTnI levels is a valuable parameter for the risk \nstratification of patients with PE needs to be examined in larger prospective \nstudies.', 'BACKGROUND: Elevation of cardiac troponin (cTn) is considered specific for \nmyocardial damage. Elevated cTn and echocardiogrpahic documentation of wall \nmotion abnormalities (WMAs) that were recorded after extreme physical effort \nraise the question whether dobutamine stress echo (DSE), can also induce \nelevation of troponin.\nMETHODS: we prospective enrolled stable patients (age >18 years) referred to \nDSE. The exam was performed under standardized conditions. Blood samples for \ncTnI were obtained at baseline and 18-24 hours after the test. We aimed to \ncompare between the clinical and echocardiographic features of patients with \nelevated cTnI and those without cTnI elevations.\nRESULTS: Fifty-seven consecutive patients were included. The average age was']",Our results indicate that elevated cTnI levels are associated with higher risk for inhospital mortality and complicated clinical course. Troponin I may play an important role for the risk assessment of patients with PE. The idea that an elevation in cTnI levels is a valuable parameter for the risk stratification of patients with PE needs to be examined in larger prospective studies.,1.0
Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,"Yes, the provided context suggests that β-catenin may have a role in the pathogenesis of sebaceous cell carcinoma of the eyelid. The documents report that cytoplasmic overexpression of β-catenin was observed in the majority of cases of sebaceous cell carcinoma of the eyelid, and this correlated significantly with tumor size. The authors hypothesize that β-catenin overexpression in sebaceous cell carcinoma of the eyelid may be a result of Wnt/β-catenin pathway dysregulation. However, the exact role of β-catenin in the development and prognosis of sebaceous cell carcinoma of the eyelid needs to be explored further.","['CONCLUSION: Cytoplasmic overexpression of β-catenin was observed in the majority \nof the cases of SbCC of eyelid, and this correlated significantly with tumour \nsize. The authors therefore hypothesise that β-catenin overexpression in SbCC of \neyelid may be a result of Wnt/β-catenin pathway dysregulation. However, its role \nboth in the development of sebaceous cell carcinoma of the eyelid as well as its \nprognosis needs to be explored further.', 'AIM: Expression of β-catenin in sebaceous cell carcinoma (SbCC) of the eyelid \nand its correlation with histopathological features.\nMETHOD: 48 cases of SbCC were analysed immunohistochemically using monoclonal \nβ-catenin antibody and the results correlated with tumour size, \nhistopathological differentiation, orbital invasion and pagetoid spread.\nRESULTS: Cytoplasmic overexpression of β-catenin was seen in 66% cases of SbCC \nwhich correlated positively with tumour size, orbital invasion and pagetoid \nspread. This correlation was found to be significant in tumour size > 2 cm (p = \n0.242). Nuclear staining was not observed in any of the cases.\nCONCLUSION: Cytoplasmic overexpression of β-catenin was observed in the majority', 'OBJECTIVE: To report three cases illustrating that it is not unusual for a \nprimary eyelid tumour to metastasise to the parotid gland and vice versa.\nCASE REPORTS: Two patients with malignant parotid tumours underwent radical \nparotidectomy and presented subsequently with eyelid lesions. Biopsy showed that \nboth eyelid lesions were histologically similar to the primary parotid tumour. A \nthird patient was noted to have ipsilateral upper eyelid and parotid gland \ntumours. Histology and immunocytochemistry were used to differentiate the \nprimary tumour and the metastasis.\nCONCLUSION: These cases illustrate that tumours involving eyelids and parotid \nglands can present simultaneously or sequentially, and either of these']","Cytoplasmic overexpression of β-catenin was observed in the majority of the cases of SbCC of eyelid, and this correlated significantly with tumour size. The authors therefore hypothesise that β-catenin overexpression in SbCC of eyelid may be a result of Wnt/β-catenin pathway dysregulation. However, its role both in the development of sebaceous cell carcinoma of the eyelid as well as its prognosis needs to be explored further.",1.0
Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,"Remote postischemic conditioning might reduce the myocardial lesions associated with percutaneous coronary intervention (PCI), but its effectiveness may be limited in certain patient populations, such as diabetics. However, the provided context does not offer conclusive evidence on the specific protective effects of remote ischemic postconditioning against ischemic damage in percutaneous coronary revascularization.","['protocol reduced post-ischemic myocardial dysfunction.\nCONCLUSION: The preconditioning effect (infarct size reduction) appears not to \ndepend on intermittent reperfusion. Thus, the protective mechanism of IP \ndevelops during the initial ischemia that precedes the index ischemia. \nAlternatively, low-flow ischemia is effectively a sort of reperfusion.', 'OBJECTIVE: Myocardial damage that is associated with percutaneous coronary \nintervention (PCI) partially affects the results of the procedure, and is \nrelated to medium-term cardiovascular death. Remote postischemic conditioning \nmight reduce the myocardial lesions that are associated with PCI, but perhaps \nless so in diabetics. The aim of this study was to evaluate the protective \neffect of remote postischemic conditioning in patients undergoing elective PCI \nfor stable angina or non-ST elevation acute coronary syndrome with troponin <1 \nng/ml at the time of randomization.\nMETHODS: This randomized single-blinded single-center clinical trial involved \n320 patients undergoing elective PCI who were randomized to either receive three', 'reperfusion. (2) CIP (n = 7): 4 times 5 min zero flow with 10 min reperfusion \neach - 60 min low flow (10%) - ischemia 60 min reperfusion. (3) IIP (n = 7): 50 \nmin normal flow - 10 min no flow - 60min low flow (10%) ischemia -4 60min \nreperfusion. (4) RI (n=6): gradual reduction to 10% flow during 60min - 60min \nlow flow (10%) ischemia - 60min reperfusion. At the end of each protocol, the \ninfarcted area was assessed.\nRESULTS: The infarct area in control hearts was 6.7+/-1.4% (means+/-SEM) of LV \ntotal area, in CIP hearts 2.6+/-0.8%, in IIP hearts 3.1+/-0.5%, and in RI hearts \n3.0+/-0.3% (all p<0.05 vs. control). The differences between the three \nprotection protocols were statistically not significant, and no protective \nprotocol reduced post-ischemic myocardial dysfunction.']",This clinical trial evaluated the possible reduction in intervention-related myocardial damage that was attributable to remote postischemic conditioning.,1.0
Does psychological distress predict disability?,"Yes, psychological distress is an independent risk factor for disability. The study found that the relative risk (RR) of disability in the highest quartile of psychological distress score was 1.76 (95% CI: 1.44-2.14) compared to the lowest quartile, indicating a significant association between psychological distress and disability.","['(95% CI: 0.42-1.85). The corresponding RR for overall disability was 1.76 (95% \nCI: 1.44-2.14) in the highest quartile of psychological distress score as \ncompared with the lowest quartile.\nCONCLUSIONS: Psychological distress is an independent risk factor for \ndisability. Its predictive significance varies between disorders leading to \nfunctional deterioration. The association mechanisms are likely to vary from one \ndisorder to another.', 'STUDY OBJECTIVE: To evaluate psychological distress as a predictor of disability \ndue to common chronic disorders.\nSTUDY POPULATION AND METHODS: A 10-year follow-up study was carried out among a \nrepresentative cohort (N = 8655) of 18-64 year old Finnish farmers, who had \nparticipated in a health survey in 1979 and were able to work at baseline. A \nrecord linkage with the nationwide register of the Social Insurance Institution \nwas made to identify disability pensions granted between 1980 and 1990 in the \ncohort. The medical certificates of 1004 (11.6%) prematurely retired farmers \nwere reviewed to confirm and classify disabling conditions. A sum score based on \nself-reports of 11 symptoms at the baseline was used as a measure of \npsychological distress.', 'self-reports of 11 symptoms at the baseline was used as a measure of \npsychological distress.\nRESULTS: After adjustment for age, sex, smoking and body mass index, the \ncause-specific relative risks (RR) (95% confidence intervals [CI]) of disability \nin the highest quartile of the psychological distress score as compared with the \nlowest quartile were for myocardial infarction 2.34 (95% CI: 1.17-4.69), for \ndepression 2.50 (95% CI: 1.09-5.72), for neck-shoulder disorders 1.98 (95% CI: \n1.26-3.11), for unspecified low-back disorders 1.76 (95% CI: 1.24-2.49), for \nknee osteoarthritis 1.55 (95% CI: 0.91-2.63) and for trip osteoarthritis 0.89 \n(95% CI: 0.42-1.85). The corresponding RR for overall disability was 1.76 (95%']",Psychological distress is an independent risk factor for disability. Its predictive significance varies between disorders leading to functional deterioration. The association mechanisms are likely to vary from one disorder to another.,1.0
Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,"Yes, synergy exists between lysosomotropic amines (such as chloroquine and hydroxychloroquine) and cyclosporine in the suppression of T-cell responses to minor and major histocompatibility antigens. The combination of these drugs results in synergistic suppression of a proliferative response to minor histocompatibility antigens (MiHC) and major histocompatibility complex (MHC) class II antigen presentation. This is evident from the study's findings, which show that similar concentrations of chloroquine and hydroxychloroquine suppress the T-cell response to MiHC, and that the combination of lysosomotropic amines with cyclosporine results in synergistic suppression of T-cell proliferation.","['BACKGROUND: Using murine models, we have shown that the lysosomotropic amine, \nchloroquine, is effective in the prevention of graft-versus-host disease (GVHD) \nmediated by donor T cells reactive with recipient minor histocompatibility \nantigens (MiHCs). Because lysosomotropic amines can suppress major \nhistocompatibility complex (MHC) class II antigen presentation, their mechanism \nof action is potentially different from current immune suppressant drugs used to \ncontrol GVHD such as cyclosporine.\nMETHODS: We investigated the use of cyclosporine and the lysosomotropic amines \nchloroquine and hydroxychloroquine in combination for additive or synergistic \nimmunosuppression on T-cell responses in vitro to MiHC and MHC in mice.\nRESULTS: We found that similar concentrations of chloroquine and', 'RESULTS: We found that similar concentrations of chloroquine and \nhydroxychloroquine suppress the T-cell response to MiHC in mice (C57BL/6 \nanti-BALB.B) and that lysosomotropic amines in combination with cyclosporine \nresult in synergistic suppression of a proliferative response to MiHC. Similar \nsuppression and synergy appear to be present in an alloreactive response \n(C57BL/6 anti-BALB/c). Direct inhibition by chloroquine of T-cell proliferative \nresponses induced by anti-CD3epsilon in the absence of antigen-presenting cells \nis present at higher concentrations than that required to suppress responses to \nMiHC or MHC. Chloroquine appears to induce decreased T-cell viability at high \nconcentrations. This effect does not appear to be due to decreased T-cell', 'concentrations. This effect does not appear to be due to decreased T-cell \nproduction of interleukin-2 or interferon-gamma. At lower concentrations (<25 \nmicrog/ml), chloroquine can also decrease the ability of antigen-presenting \ncells to stimulate an a C57BL/6 anti-BALB/c T-cell response and can inhibit MHC \nclass II expression after activation with lipopolysaccharide.\nCONCLUSIONS: Lysosomotropic amines in combination with cyclosporine appear to be \nsynergistic in the suppression of T-cell proliferation to MiHC and MHC. Use of \nchloroquine in combination with cyclosporine may result in improved control of \nGVHD.']",Lysosomotropic amines in combination with cyclosporine appear to be synergistic in the suppression of T-cell proliferation to MiHC and MHC. Use of chloroquine in combination with cyclosporine may result in improved control of GVHD.,1.0
Dementia and aphasia in motor neuron disease: an underrecognised association?,"The provided context suggests that dementia and aphasia may be underrecognised in motor neuron disease (MND). According to the text, a study found that 3 out of 18 patients with MND were demented and had impaired language function, and 2 non-demented patients had an aphasic syndrome. This indicates that cognitive impairment, including dementia and aphasia, may be more common in MND than previously reported. Additionally, the text states that ""Aphasia in MND may be masked by dysarthria and missed if not specifically examined"", implying that aphasia may be underdiagnosed in MND patients. Therefore, the answer to the question is yes, dementia and aphasia in motor neuron disease may be an underrecognised association.","['OBJECTIVES: To determine the prevalence and nature of global cognitive \ndysfunction and language deficits in an unselected population based cohort of \npatients with motor neuron disease (MND).\nMETHODS: A battery of neuropsychological and language tests was administered to \npatients presenting consecutively over a 3 year period to a regional neurology \nservice with a new diagnosis of sporadic motor neuron disease.\nRESULTS: The 18 patients could be divided on the basis of their performance into \nthree groups: Three patients were demented and had impaired language function \n(group 1); two non-demented patients had an aphasic syndrome characterised by \nword finding difficulties and anomia (group 2). Major cognitive deficits were', 'word finding difficulties and anomia (group 2). Major cognitive deficits were \ntherefore found in five of the 18 patients (28%). The remaining 13 performed \nnormally on the test battery apart from decreased verbal fluency (group 3).\nCONCLUSIONS: The prevalence of cognitive impairment in MND in this population \nbased study of an unselected cohort was higher than has been previously \nreported. Language deficits, especially anomia, may be relatively frequent in \nthe MND population. Aphasia in MND may be masked by dysarthria and missed if not \nspecifically examined.', 'CONCLUSION: IADL disability is a useful addition to the diagnostic process in a \nmemory clinic setting, indicating who is at higher risk of developing dementia \nat 1- and 2-year follow-up.\n© 2011, Copyright the Authors Journal compilation © 2011, The American \nGeriatrics Society.']","The prevalence of cognitive impairment in MND in this population based study of an unselected cohort was higher than has been previously reported. Language deficits, especially anomia, may be relatively frequent in the MND population. Aphasia in MND may be masked by dysarthria and missed if not specifically examined.",1.0
Does age moderate the effect of personality disorder on coping style in psychiatric inpatients?,"No, according to the provided context, age does moderate the effect of various factors on coping strategies, but personality disorder is not a significant predictor of coping strategies. The document with id 'b8bda145-a432-5a7e-9615-07cdd419d7cb' states: ""Personality traits, social supports, gender, and age predicted coping strategies, while Axis I diagnosis, education, personality disorder, and symptom severity were not significant predictors of coping strategies."" This suggests that personality disorder does not have a significant effect on coping style, and therefore, age does not moderate this effect.","['impaired, and non-English speaking patients were excluded).\nRESULTS: Older adults reported less symptomatology than younger patients and \nyounger patients described more personality dysfunction than older patients. As \nassessed by the COPE, older adults reported lower levels of dysfunctional coping \nstrategies than younger adults. Personality traits, social supports, gender, and \nage predicted coping strategies, while Axis I diagnosis, education, personality \ndisorder, and symptom severity were not significant predictors of coping \nstrategies.\nCONCLUSION: This study found that influences on coping were multifactorial and \nmoderated by age. These factors have implications for interventions designed to \nenhance coping strategies.', 'OBJECTIVE: To examine age-related differences in the relationship between \npersonality and coping strategies in an Australian population of psychiatric \ninpatients.\nMETHOD: Consenting eligible adults (N=238) from 18-100 years of age \nconsecutively admitted to inpatient psychiatry units were assessed using the \nSCID I and II, the Coping Orientations to Problems Experienced Scale (COPE), the \nBrief Psychiatric Rating Scale (BPRS), the Global Assessment of Functioning \nScale (GAF), the Social and Occupational Functioning Assessment Scale (SOFAS), \nthe 12 Item Short-Form Heath Survey (SF12), the Sarason Social Support \nQuestionnaire, and the NEO Five Factor Inventory (NEO-FFI) (cognitively \nimpaired, and non-English speaking patients were excluded).', 'investigated patients in general adult psychiatry are characterized by specific \nrisk factors different from clinical subpopulations of other disciplines.']",This study found that influences on coping were multifactorial and moderated by age. These factors have implications for interventions designed to enhance coping strategies.,1.0
Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?,"The provided context does not directly answer the question of whether diffusion-weighted echo-planar MR imaging can predict different histologic subtypes of primary parotid gland tumors. However, the first document mentions that the aim of the study was to ""determine the value of echo-planar diffusion-weighted MR imaging (epiDWI) in differentiating various types of primary parotid gland tumors"" and that ""comparison of apparent diffusion coefficients (ADCs)"" was performed. This suggests that the study investigated the potential of epiDWI in differentiating between various types of primary parotid gland tumors, but the results are not provided in the given context. Therefore, based on the available information, it is unclear whether a prediction of different histologic subtypes is possible using diffusion-weighted echo-planar MR imaging.","['BACKGROUND AND PURPOSE: Our aim was to determine the value of echo-planar \ndiffusion-weighted MR imaging (epiDWI) in differentiating various types of \nprimary parotid gland tumors.\nMATERIALS AND METHODS: One hundred forty-nine consecutive patients with \nsuspected tumors of the parotid gland were examined with an epiDWI sequence by \nusing a 1.5T unit. Image analysis was performed by 2 radiologists independently, \nand the intraclass correlation coefficient was computed. Histologic diagnosis \nwas obtained in every patient. For comparison of apparent diffusion coefficients \n(ADCs), a paired 2-tailed Student t test with a Bonferroni correction was used.\nRESULTS: In 136 patients, a primary parotid gland tumor was confirmed by', 'glands can present simultaneously or sequentially, and either of these \nstructures could be the focus of primary or metastatic tumour. The important \nmessage for oculoplastic and parotid surgeons is to routinely assess both the \nperiocular and parotid area when patients present with a mass in either \nstructure.', 'OBJECTIVE: To report three cases illustrating that it is not unusual for a \nprimary eyelid tumour to metastasise to the parotid gland and vice versa.\nCASE REPORTS: Two patients with malignant parotid tumours underwent radical \nparotidectomy and presented subsequently with eyelid lesions. Biopsy showed that \nboth eyelid lesions were histologically similar to the primary parotid tumour. A \nthird patient was noted to have ipsilateral upper eyelid and parotid gland \ntumours. Histology and immunocytochemistry were used to differentiate the \nprimary tumour and the metastasis.\nCONCLUSION: These cases illustrate that tumours involving eyelids and parotid \nglands can present simultaneously or sequentially, and either of these']","epiDWI has the potential to differentiate pleomorphic adenoma and myoepithelial adenomas from all other examined entities. Due to an overlap not only within the group of benign and malignant lesions but also between groups, diagnoses should not be addressed on the basis of ADC values solely. Therefore, further studies combining DWI, morphologic criteria, and probably other MR imaging techniques seem warranted.",0.3333333333333333
Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,"Yes, reports of mechanical dysfunction in chronic oro-facial pain may be related to somatisation. The study found that self-reported mechanical factors associated with chronic oro-facial pain, such as teeth grinding and facial trauma, were also commonly associated with the reporting of other frequently unexplained syndromes, suggesting that they ""may represent another feature of somatisation"" (Document id='1297b571-6708-534e-8f49-13ea140b2a33'). This implies that the relationship between mechanical dysfunction and chronic oro-facial pain may be confounded by psychological factors, including somatisation.","['also collected on demographic factors, psychological factors and the reporting \nof other frequently unexplained syndromes.\nRESULTS: An adjusted response rate of 72% was achieved. Only two mechanical \nfactors: teeth grinding (odds ratio (OR) 2.0, 95% CI 1.3-3.0) and facial trauma \n(OR 2.0; 95% CI 1.3-2.9) were independently associated with chronic oro-facial \npain after adjusting for psychological factors. However, these factors were also \ncommonly associated with the reporting of other frequently unexplained \nsyndromes: teeth grinding (odds ratio (OR) 1.8, 95% CI 1.5-2.2), facial trauma \n(OR 2.1; 95% CI 1.7-2.6).\nCONCLUSIONS: Self-reported mechanical factors associated with chronic oro-facial \npain are confounded, in part, by psychological factors and are equally common', 'OBJECTIVES: (i) To examine the association between self-reported mechanical \nfactors and chronic oro-facial pain. (ii) To test the hypothesis that this \nrelationship could be explained by: (a) reporting of psychological factors, (b) \ncommon association of self-reported mechanical factors with other unexplained \nsyndromes.\nMETHODS: A population based cross-sectional study of 4200 randomly selected \nadults registered with a General Medical Practice in North West, England. The \nstudy examined the association of chronic oro-facial pain with a variety of \nself-reported mechanical factors: teeth grinding, facial trauma, missing teeth \nand the feeling that the teeth did not fit together properly. Information was \nalso collected on demographic factors, psychological factors and the reporting', 'pain are confounded, in part, by psychological factors and are equally common \nacross other frequently unexplained syndromes. They may represent another \nfeature of somatisation. Therefore the use of extensive invasive therapy such as \nocclusal adjustments and surgery to change mechanical factors may not be \njustified in many cases.']","Self-reported mechanical factors associated with chronic oro-facial pain are confounded, in part, by psychological factors and are equally common across other frequently unexplained syndromes. They may represent another feature of somatisation. Therefore the use of extensive invasive therapy such as occlusal adjustments and surgery to change mechanical factors may not be justified in many cases.",1.0
Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?,"According to the provided context, specifically Document(id='7d7e4c11-9533-5697-917c-623a30f2f678'), the objective of the study was to assess the efficacy of preoperative statin therapy in preventing atrial fibrillation (AF) after coronary artery bypass grafting (CABG). However, the document does not provide a clear conclusion or result regarding the efficacy of preoperative statins in reducing atrial fibrillation after CABG. 

To answer the question accurately, more information from the document is needed, but based on the given context, it can be inferred that the study aimed to investigate this relationship, suggesting that preoperative statins may have a potential role in preventing atrial fibrillation after CABG.","['OBJECTIVE: Recent studies have demonstrated that statins have pleiotropic \neffects, including anti-inflammatory effects and atrial fibrillation (AF) \npreventive effects. The objective of this study was to assess the efficacy of \npreoperative statin therapy in preventing AF after coronary artery bypass \ngrafting (CABG).\nMETHODS: 221 patients underwent CABG in our hospital from 2004 to 2007. 14 \npatients with preoperative AF and 4 patients with concomitant valve surgery were \nexcluded from this study. Patients were divided into two groups to examine the \ninfluence of statins: those with preoperative statin therapy (Statin group, n = \n77) and those without it (Non-statin group, n = 126). In addition, patients were \ndivided into two groups to determine the independent predictors for', '4.0 +/- 7.1 days (p = 0.004). Multivariate analysis revealed an association of \natrial fibrillation with age (OR 1.08, 95% CI 1.02-1.14, p = 0.01), and \nlaparoscopic surgery (OR 0.09, 95% CI 0.01-0.95, p = 0.04) after adjusting for \nsurgery type.\nCONCLUSIONS: Laparoscopic surgery is associated with lower risk of atrial \nfibrillation in foregut surgery. Development of atrial fibrillation is \nassociated with increased length of intensive care stay. We recommend a \nprospective trial to confirm our findings.', 'OBJECTIVE: Desmopressin releases tissue-type plasminogen activator, which \naugments cardiopulmonary bypass--associated hyperfibrinolysis, causing excessive \nbleeding. Combined use of desmopressin with prior administration of the \nantifibrinolytic drug tranexamic acid may decrease fibrinolytic activity and \nmight improve postoperative hemostasis.\nMETHODS: This prospective randomized study was carried out with 100 patients \nundergoing coronary artery bypass operations between April 1999 and November \n2000 in Gülhane Military Medical Academy. Patients were divided into 2 groups. \nDesmopressin (0.3 microg/kg) was administrated just after cardiopulmonary bypass \nand after protamine infusion in group 1 (n = 50). Both desmopressin and']",Our study indicated that preoperative statin therapy seems to reduce AF development after CABG.,1.0
